Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;posti_abitativi;posti_letto;MUNICIPIO;LONGIT;LATIT;Location
VA/266;Via VIGANO' FRANCESCO N. 4 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;Via VIGANO' FRANCESCO;4;1121;2;4;9;9.18977503362;45.4821688301;45.4821688301, 9.18977503362
VA/267;Via MASOTTO UMBERTO N. 1 (z.d. 4);ATTIVITA RICETTIVE - Case vacanza;Via MASOTTO UMBERTO;1;3283;2;3;4;9.23043927781;45.4669851696;45.4669851696, 9.23043927781
VA/69;Via OLDOFREDI ERCOLE N. 19 (z.d. 2)Via ABBADESSE N. 20 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;;;;13;36;;;;
VA/397;Via FILZI FABIO N. 14 (z.d. 2)Galleria BUENOS AIRES N. 14 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;;;;6;17;;;;
VA/402;Via PALERMO N. 20 (z.d. 1)Via MOSCOVA (DELLA) N. 27 (z.d. 1)Via MOROSINI EMILIO N. 51/2 (z.d. 4)Via SCIESA AMATORE N. 6 (z.d. 4)Via SPARTACO N. 37 (z.d. 4)Via MARGHERA N. 18 (z.d. 7)Via BIANCHI MOSE' N. 11 (z.d. 7)Via CORREGGIO N. 12 (z.d. 7)Via PRATI GIOVANNI N. 10 (z.d. 8)Via CENISIO N. 49 (z.d. 8)Via MESSINA N. 43 (z.d. 8)Via ROSALES GASPARE N. 1 (z.d. 9)Via ROSELLINI IPPOLITO N. 5 (z.d. 9)Via LOMAZZO PAOLO N. 34 (z.d. 8)Via LAMARMORA ALFONSO N. 1 (z.d. 1)Via CERNAIA N. 9 (z.d. 1)Via SPONTINI GASPARE N. 11 (z.d. 3)Via TORTONA N. 10 (z.d. 6)Alzaia NAVIGLIO PAVESE N. 20 (z.d. 6)Via BALESTRIERI DOMENICO N. 6 (z.d. 1)Corso PORTA NUOVA (DI) N. 52 (z.d. 1)Viale CALDARA EMILIO N. 35A (z.d. 1)Via TESIO FEDERICO N. 7 (z.d. 7)Via TESIO FEDERICO N. 19 (z.d. 7)Via TOLSTOI LEONE N. 24/5 (z.d. 6)Piazza REPUBBLICA (DELLA) N. 25 (z.d. 2)Via BERTANI AGOSTINO N. 16 (z.d. 1)Via VETERE N. 9 (z.d. 1)Via PONTACCIO N. 6 (z.d. 1)Via MOSCOVA (DELLA) N. 60 (z.d. 1)Viale GORIZIA N. 12 cam 1 pl 2 (z.d. 6)Via CARACCIOLO FRANCESCO N. 16 (z.d. 8)Via REVERE GIUSEPPE N. 18 (z.d. 1)Via DOGANA N. 3 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;;;;53;139;;;;
VA/481;Via MOSCOVA (DELLA) N. 47A (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;Via MOSCOVA (DELLA);47A;1016;3;8;1;9.18349450936;45.4777855207;45.4777855207, 9.18349450936
VA/283;Via D'ADDA CARLO N. 9 (z.d. 6)Via SALA LUIGI N. 16 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;;;;5;10;;;;
C-VA/5;Via MURAT GIOACCHINO N. 6 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;Via MURAT GIOACCHINO;6;1316;8;24;9;9.1918529696;45.497297051;45.497297051, 9.1918529696
C-VA/7;PIAZZALE LAGOSTA N. 9 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;PIAZZALE LAGOSTA;9;1155;18;37;9;9.19070232061;45.4900523762;45.4900523762, 9.19070232061
C-VA/8;Via COLONNA VITTORIA N. 32 (z.d. 7);ATTIVITA RICETTIVE - Case vacanza;Via COLONNA VITTORIA;32;6284;11;21;7;9.15139713082;45.4691741018;45.4691741018, 9.15139713082
C-VA/9;Via IPPODROMO N. 56 (z.d. 8);ATTIVITA RICETTIVE - Case vacanza;Via IPPODROMO;56;6492;7;20;8;9.12196926172;45.4856889657;45.4856889657, 9.12196926172
C-VA/10;Viale ELVEZIA N. 8 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;Viale ELVEZIA;8;7085;13;23;1;9.17881159634;45.4774427738;45.4774427738, 9.17881159634
C-VA/19;Via LATTUADA SERVILIANO N. 14 (z.d. 4);ATTIVITA RICETTIVE - Case vacanza;Via LATTUADA SERVILIANO;14;4075;36;36;4;9.20508008142;45.4529886967;45.4529886967, 9.20508008142
C-VA/21;Via SFORZA ASCANIO N. 55 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;Via SFORZA ASCANIO;55;5201;19;;5;9.17695966809;45.4464114006;45.4464114006, 9.17695966809
C-VA/22;Via GRAZIANO N. 33 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;Via GRAZIANO;33;1524;9;18;9;9.19114756793;45.5135299235;45.5135299235, 9.19114756793
C-VA/23;Via BOSCO DON GIOVANNI N. 6 (z.d. 4);ATTIVITA RICETTIVE - Case vacanza;Via BOSCO DON GIOVANNI;6;4144;9;;4;9.21328274166;45.4448333307;45.4448333307, 9.21328274166
C-VA/24;Via PORRO LAMBERTENGHI LUIGI N. 14 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;Via PORRO LAMBERTENGHI LUIGI;14;1142;27;;9;9.18635561694;45.4891092975;45.4891092975, 9.18635561694
C-VA/30;Via POMEZIA N. 4 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;Via POMEZIA;4;2270;15;33;2;9.2153067966;45.4892296767;45.4892296767, 9.2153067966
C-VA/31;Via ORTICA N. 27 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;Via ORTICA;27;3242;3;14;3;9.24519626124;45.4711965754;45.4711965754, 9.24519626124
C-VA/33;VIA OLIVARI EMILIO N. 11 (z.d. 3)VIALE LOMBARDIA N. 68 (z.d. 3)VIALE LOMBARDIA N. 40 (z.d. 3)VIA MARCO AURELIO N. 5 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;;;;12;24;;;;
C-VA/39;Viale GORIZIA N. 6 (z.d. 6)Viale GORIZIA N. 6 (z.d. 6)Viale GORIZIA N. 6 (z.d. 6)Viale GORIZIA N. 6 (z.d. 6)Viale GORIZIA N. 6 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;;;;16;31;;;;
C-VA/42;Viale LANCETTI VINCENZO N. 24 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;Viale LANCETTI VINCENZO;24;1221;6;15;9;9.17678055561;45.4954431587;45.4954431587, 9.17678055561
VA/3519;VIA BORGOGNA N. 7 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;VIA BORGOGNA;7;301;1;8;1;9.19975612253;45.4658831222;45.4658831222, 9.19975612253
C-VA/47;Viale GORIZIA N. 6 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;Viale GORIZIA;6;5156;12;26;6;9.17316644368;45.454521987;45.454521987, 9.17316644368
C-VA/48;Via BIONDELLI BERNARDINO N. 7 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;Via BIONDELLI BERNARDINO;7;4236;23;;5;9.18881151705;45.4402184506;45.4402184506, 9.18881151705
C-VA/48;Via BIONDELLI BERNARDINO N. 7 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;Via BIONDELLI BERNARDINO;7;4236;23;;5;9.18881151705;45.4402184506;45.4402184506, 9.18881151705
C-VA/51;Viale GORIZIA N. 6 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;Viale GORIZIA;6;5156;6;8;6;9.17316644368;45.454521987;45.454521987, 9.17316644368
C-VA/56;Via RIPAMONTI GIUSEPPE N. 292 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;Via RIPAMONTI GIUSEPPE;292;4066;18;56;5;9.20340000778;45.4247363544;45.4247363544, 9.20340000778
C-VA/57;Via PADOVA N. 389 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;Via PADOVA;389;2275;32;64;2;9.26014280151;45.5125644951;45.5125644951, 9.26014280151
C-VA/59;Via BOSCO DON GIOVANNI N. 4 (z.d. 4);ATTIVITA RICETTIVE - Case vacanza;Via BOSCO DON GIOVANNI;4;4144;14;20;4;9.21320577638;45.4449581863;45.4449581863, 9.21320577638
C-VA/62;Via CASTEL MORRONE N. 7 (z.d. 3)Via CASTEL MORRONE N. 7 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;;;;4;10;;;;
C-VA/63;Via BUDRIO N. 38 (z.d. 7);ATTIVITA RICETTIVE - Case vacanza;Via BUDRIO;38;6780;7;21;7;9.08003819397;45.4669059837;45.4669059837, 9.08003819397
C-VA/64;VIA SANGALLO N. 51 (z.d. 3)VIA VENEZIAN GIACOMO N. 6 (z.d. 3)VIA INAMA VIGILIO N. 12 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;;;;3;8;;;;
VA/3315;VIA EUSTACHI BARTOLOMEO N. 50 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;VIA EUSTACHI BARTOLOMEO;50;2165;1;4;3;9.21496560029;45.4789605571;45.4789605571, 9.21496560029
VA/3316;VIA BRUNO GIORDANO N. 11 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;VIA BRUNO GIORDANO;11;7130;1;5;1;9.17565379261;45.4806445403;45.4806445403, 9.17565379261
VA/3791;VIALE CAMPANIA N. 17 (z.d. 4);ATTIVITA RICETTIVE - Case vacanza;VIALE CAMPANIA;17;3100;1;2;4;9.2235203879;45.4638603674;45.4638603674, 9.2235203879
VA/3792;VIA POPOLI UNITI N. 5;ATTIVITA RICETTIVE - Case vacanza;VIA POPOLI UNITI;5;2293;1;4;2;9.21899394721;45.4960132031;45.4960132031, 9.21899394721
VA/68;Via OGLIO N. 1 bilocale - 4 p. letto (z.d. 4)Via AMPERE ANDREA MARIA N. 55 (z.d. 3)Alzaia NAVIGLIO PAVESE N. 66 (z.d. 6)Via GAFFURIO FRANCHINO N. 1 (z.d. 3)Via LATTANZIO N. 31 bilocale - 4 posti letto (z.d. 4)Via PELLEGRINI (DEI) N. 8/6 monolocale - 1 p. letto (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;;;;6;12;;;;
VA/3919;CORSO COMO N. 6 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;CORSO COMO;6;1111;1;2;9;9.18734461471;45.4815798192;45.4815798192, 9.18734461471
VA/3800;VIA VERRO BERNARDINO N. 46 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;VIA VERRO BERNARDINO;46;4223;1;2;5;9.192727442;45.437990778;45.437990778, 9.192727442
VA/3801;VIA VERRO BERNARDINO N. 46 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;VIA VERRO BERNARDINO;46;4223;1;2;5;9.192727442;45.437990778;45.437990778, 9.192727442
VA/3844;CORSO PORTA TICINESE (DI) N. 78 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;CORSO PORTA TICINESE (DI);78;541;1;2;1;9.18040050488;45.4545967284;45.4545967284, 9.18040050488
VA/3845;VIA CASTEL MORRONE N. 1 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;VIA CASTEL MORRONE;1;3185;1;2;3;9.2145287816;45.4686673575;45.4686673575, 9.2145287816
VA/2235;ALZAIA NAVIGLIO GRANDE N. 150 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;ALZAIA NAVIGLIO GRANDE;150;5144;1;4;6;9.15202769441;45.4471204949;45.4471204949, 9.15202769441
VA/2236;VIA BERNARDO (SAN) N. 16 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;VIA BERNARDO (SAN);16;4351;1;2;5;9.23863865621;45.416779904;45.416779904, 9.23863865621
VA/2237;VIALE RIMEMBRANZE DI GRECO (DELLE) N. 39 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;VIALE RIMEMBRANZE DI GRECO (DELLE);39;1412;1;3;2;9.21176397834;45.4996643146;45.4996643146, 9.21176397834
VA/2238;VIA FATEBENEFRATELLI N. 30 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;VIA FATEBENEFRATELLI;30;144;1;5;1;9.19351578014;45.4725981317;45.4725981317, 9.19351578014
VA/2239;VIA PECCHIO GIUSEPPE N. 7 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;VIA PECCHIO GIUSEPPE;7;2240;1;2;3;9.21760242034;45.4845736528;45.4845736528, 9.21760242034
VA/2240;VIA GAFFURIO FRANCHINO N. 4 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;VIA GAFFURIO FRANCHINO;4;2138;1;5;3;9.21019954278;45.4841886503;45.4841886503, 9.21019954278
VA/2241;VIA CRESPI PIETRO N. 11 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;VIA CRESPI PIETRO;11;2296;1;4;2;9.22069138295;45.4930303501;45.4930303501, 9.22069138295
VA/2242;ALZAIA NAVIGLIO GRANDE N. 150 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;ALZAIA NAVIGLIO GRANDE;150;5144;1;6;6;9.15202769441;45.4471204949;45.4471204949, 9.15202769441
VA/2243;VIA PRINCIPE EUGENIO N. 22 (z.d. 8);ATTIVITA RICETTIVE - Case vacanza;VIA PRINCIPE EUGENIO;22;7223;1;4;8;9.16449647849;45.4895545126;45.4895545126, 9.16449647849
VA/2244;VIA CESARIANO CESARE N. 11 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;VIA CESARIANO CESARE;11;7113;1;2;1;9.17597200144;45.4778722594;45.4778722594, 9.17597200144
VA/2245;VIALE MONZA N. 24 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;VIALE MONZA;24;2274;1;2;2;9.21799420827035;45.4896699940865;45.4896699940865, 9.21799420827035
VA/2251;VIA GOLFO DEGLI ARANCI N. 20 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;VIA GOLFO DEGLI ARANCI;20;2463;1;3;2;9.23490919976;45.5064892898;45.5064892898, 9.23490919976
VA/2825;VIA MODICA N. 20 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;VIA MODICA;20;5306;1;4;6;9.15316618593;45.4392607632;45.4392607632, 9.15316618593
VA/87;VIA FATEBENEFRATELLI N. 13 (z.d. 1)FORO BUONAPARTE N. 53 (z.d. 1)VIA CARDUCCI GIOSUE' N. 38 (z.d. 1)VIA FUSETTI MARIO N. 11 Scala B (z.d. 6)PIAZZA DE MEIS CAMILLO N. 2 (z.d. 7)VIA MARIA ALLA PORTA (SANTA) N. 5 (z.d. 1)VIA MARIA ALLA PORTA (SANTA) N. 5 (z.d. 1)VIA CORRIDONI FILIPPO N. 35 (z.d. 1)VIA DISCIPLINI N. 7 (z.d. 1)VIALE CONI ZUGNA N. 71 (z.d. 6)VIA VECCHIO POLITECNICO (DEL) N. 5 (z.d. 1)VIA THAON DI REVEL GENOVA N. 12 (z.d. 9)CORSO GENOVA N. 15 (z.d. 1)VIA CASALE N. 5 (z.d. 6)VIA CARDUCCI GIOSUE' N. 38 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;;;;8;27;;;;
VA/2807;VIA COMMENDA (DELLA) N. 28 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;VIA COMMENDA (DELLA);28;3146;1;2;1;9.19940707608;45.4551366506;45.4551366506, 9.19940707608
VA/3922;VIA FARA GUSTAVO N. 3 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;VIA FARA GUSTAVO;3;1183;1;4;9;9.19758188266;45.4820215804;45.4820215804, 9.19758188266
